1486697.274	5375552.499	35.334
1486692.459	5375551.276	34.981
1486687.644	5375550.053	34.65
1486682.829	5375548.83	34.342
1486678.013	5375547.608	34.056
1486673.198	5375546.385	33.791
1486668.383	5375545.162	33.549
1486663.568	5375543.939	33.33
1486658.753	5375542.717	33.132
1486653.938	5375541.494	32.956
1486649.122	5375540.271	32.803
1486644.307	5375539.048	32.672
1486639.492	5375537.826	32.563
1486634.677	5375536.603	32.476
1486629.862	5375535.38	32.412
1486625.047	5375534.157	32.369
1486620.231	5375532.935	32.349
1486615.416	5375531.712	32.351
1486610.601	5375530.489	32.375
1486605.786	5375529.267	32.421
1486600.971	5375528.044	32.49
1486596.156	5375526.821	32.58
1486591.34	5375525.598	32.693
1486586.525	5375524.376	32.828
1486581.71	5375523.153	32.985
1486576.895	5375521.93	33.165
1486572.08	5375520.707	33.366
1486567.265	5375519.485	33.59
1486562.449	5375518.262	33.835
1486557.634	5375517.039	34.103
