15	11	3.75	1614469.21	5384744.79	468.40
17	14	3.34	1614202.38	5384652.19	470.42
17	14	3.70	1614250.73	5384667.83	472.91
17	14	3.92	1614197.45	5384650.57	469.73
21	13	2.84	1613583.95	5384438.85	458.76
21	14	3.55	1613584.46	5384425.80	458.84
30	14	3.52	1611902.98	5383818.08	473.28
38	14	3.62	1610788.85	5383411.48	441.65
40	14	3.46	1610326.34	5383267.91	422.80
133	24	3.09	1594597.20	5375574.18	716.78
133	24	3.86	1594602.60	5375576.64	717.59
142	28	3.93	1593213.69	5375474.76	740.97
200	33	3.25	1590613.33	5385040.97	583.68
