35	21	3.38	1672336.55	5405721.63	43.67
35	22	3.5	1672336.55	5405721.63	43.67
35	21	3.96	1672291.21	5405725.86	45.62
35	25	3.76	1672291.21	5405725.86	45.62
36	23	3.91	1672205.05	5405723.85	44.11
36	22	3.93	1672205.28	5405720.84	44.10
58	21	3.85	1667993.59	5405847.82	58.70
113	30	3.67	1658845.30	5400958.90	217.68
120	35	3.96	1656879.40	5401163.54	240.43
258	47	3.14	1633919.82	5394464.89	239.65
258	45	3.96	1633915.84	5394468.70	239.06
299	45	3.99	1627660.39	5391829.36	285.37
318	45	3.83	1625030.35	5389798.03	308.87
346	45	3.90	1619826.95	5388619.66	351.38
346	46	3.97	1619944.43	5388635.06	350.35
349	46	3.86	1619145.91	5388486.03	380.20
