11	26	3.72	1454255.16	5297406.07	338.27
21	44	3.05	1455558.03	5297061.02	39.12
21	44	3.84	1455553.49	5297062.13	39.83
28	52	3.85	1456216.90	5297003.88	35.24
28	52	3.87	1456211.93	5297006.07	35.01
28	52	3.99	1456221.75	5297005.92	34.27
30	55	3.70	1456417.09	5296969.79	39.55
30	55	3.77	1456424.51	5296969.60	39.36
37	55	3.48	1457408.56	5296863.96	33.30
37	55	3.64	1457417.40	5296864.38	33.23
37	55	3.71	1457432.41	5296861.81	33.52
37	55	3.79	1457351.63	5296872.09	34.09
37	53	4.00	1457350.77	5296876.15	33.98
37	55	4.00	1457437.42	5296859.48	34.03
